Document_ID1	Document_ID2	Similarity
14802	9970	0.8271334767341614
1108	14126	0.7768592834472656
1055	14126	0.7405114769935608
1055	1108	0.7324972152709961
13982	13983	0.7473025321960449
8696	434	0.7414367198944092
11441	14887	0.7779847383499146
9190	9144	0.9040185213088989
888	895	0.812383234500885
14329	3312	0.7879339456558228
13347	8943	0.7657214999198914
6435	6183	0.8920724391937256
7809	7811	0.8018179535865784
6095	9923	0.7368279695510864
9956	14802	0.7373982667922974
8719	434	0.787867546081543
8719	8696	0.7684659361839294
13396	15233	0.7303126454353333
13996	2393	0.7993770837783813
703	687	0.7073156833648682
8391	111	0.7085803151130676
6444	6451	0.7180694937705994
10098	10096	0.7120468020439148
3264	434	0.8198538422584534
3264	8696	0.7346000075340271
3264	8719	0.8170536756515503
8716	434	0.7701601982116699
8716	8696	0.7760865092277527
8716	8719	0.8947754502296448
8716	3264	0.7875024080276489
2281	2272	0.806782066822052
303	299	0.7118575572967529
120	111	0.7546645998954773
9873	6132	0.7191089391708374
4284	1840	0.7080304622650146
9947	9948	0.8919612169265747
889	895	0.7247714996337891
889	888	0.7044637799263
4267	8926	0.7968174815177917
2817	2827	0.7546296715736389
14873	11134	0.9126560091972351
11309	11304	0.7704725861549377
3313	3314	0.7006711959838867
3246	434	0.7675769329071045
3246	8719	0.7432123422622681
3246	3264	0.7744265794754028
3246	8716	0.7179641723632812
14237	2367	0.9300435781478882
3471	3444	0.7214817404747009
1901	1880	0.7309213280677795
14702	14707	0.9359029531478882
613	1840	0.8176537752151489
613	4363	0.719315767288208
613	4284	0.8255119919776917
4179	4162	0.7251620888710022
5342	5340	0.9637855291366577
2749	3737	0.731563150882721
2454	2455	0.7643768191337585
2985	8579	0.8026679754257202
11476	11471	0.7926744222640991
8217	14701	0.7665106058120728
6107	6116	0.7166014909744263
6319	15211	1.0000001192092896
9964	9976	0.7320982217788696
9832	9833	0.7109230160713196
6977	6973	0.7579006552696228
1073	14126	0.7955056428909302
1073	1108	0.749717116355896
1073	1055	0.7621349692344666
8795	11471	0.8236348628997803
8795	11476	0.7740662097930908
7842	7608	0.8849292993545532
1118	1117	0.7968816161155701
11125	11134	0.8819457292556763
11125	14873	0.8095877766609192
7575	9415	0.722134530544281
11487	11476	0.7678282856941223
3316	3314	0.9150540232658386
1151	1123	0.7474127411842346
5474	9923	0.7183555960655212
5474	6095	0.7077676653862
2501	2503	0.8573845624923706
2400	2386	0.9102458357810974
14704	14701	0.7213397026062012
1013	1017	0.7316555380821228
2284	2287	0.8445814847946167
3063	3056	0.7049872279167175
10099	10098	0.7531816959381104
6865	6859	0.7183137536048889
11478	11471	0.7518198490142822
11478	11476	0.847429096698761
11478	8795	0.8389946222305298
11478	11487	0.8443424105644226
3026	3018	1.000000238418579
2511	13982	0.7044269442558289
4884	14436	0.7429478168487549
7885	13926	0.8038778305053711
3014	3008	0.7230410575866699
1759	1788	0.7352858185768127
9912	5963	0.7202679514884949
9912	5954	0.8204870820045471
4815	4834	1.0000001192092896
6903	6889	0.8925185203552246
15130	1545	0.7244110107421875
718	727	0.7267856597900391
2608	2386	0.7511872053146362
2608	2400	0.7718604207038879
424	414	1.0
9812	14785	0.7302924990653992
7399	7412	0.7511336803436279
9692	10946	0.7597183585166931
11311	11303	0.9027968049049377
11281	8748	0.7129582166671753
3067	3056	0.7018308043479919
6670	6704	0.7515657544136047
2792	2801	0.7957687973976135
1082	14126	0.7568749785423279
1082	1108	0.7537220120429993
1082	1055	0.7324609160423279
1082	1073	0.7110095024108887
14642	7938	0.7098998427391052
11660	11752	0.7658424377441406
5263	5241	0.7111189365386963
5263	5245	0.7186568975448608
1173	1123	0.7122931480407715
1173	1151	0.7543036341667175
2975	8579	0.8546712398529053
2975	2985	0.7109231948852539
2371	2372	0.7204524874687195
1110	14126	0.7124430537223816
1110	1108	0.7188785672187805
2637	2636	0.7049661874771118
5429	14466	0.7424806952476501
4430	4431	0.7532293200492859
993	14121	0.7563942670822144
13103	13106	0.7590133547782898
5182	5183	0.7919735908508301
12843	12834	0.7427659034729004
905	14107	0.7589980363845825
5155	13340	0.9999999403953552
3087	3056	0.7034950852394104
1480	1457	0.7260111570358276
8282	8281	0.9506861567497253
10874	8719	0.7016359567642212
5145	15195	0.7436851859092712
7477	7494	0.735848605632782
12318	12301	0.825937032699585
304	299	0.8735176920890808
7697	9048	0.7391675710678101
7860	8426	0.8444951772689819
6930	6918	0.711129367351532
4763	4733	0.9999999403953552
543	1319	0.7166311740875244
7841	7825	0.9486414790153503
8784	8780	0.8840072154998779
3923	3915	0.8021177649497986
12319	12298	0.729549765586853
9054	9029	0.8625589609146118
11888	11907	0.7195015549659729
9717	9720	0.7610617280006409
2412	2421	0.8321752548217773
11317	11312	0.8900230526924133
2761	2764	0.7606297135353088
5681	5671	0.768741250038147
5681	5686	0.7317172288894653
4264	1840	0.8180948495864868
4264	4363	0.7154461741447449
4264	4284	0.7983033061027527
4264	613	0.8743734955787659
10879	8763	0.7399036884307861
315	312	0.960767924785614
14566	7134	0.8465035557746887
13841	13850	0.7151798605918884
2955	2965	0.7192063927650452
4281	8926	0.7609451413154602
878	895	0.7317821979522705
878	888	0.7204028964042664
878	860	0.7236675024032593
3849	3843	0.705722451210022
8920	8926	0.7111315131187439
11383	11345	0.9960946440696716
2802	2801	0.7882968783378601
2802	2792	0.9467572569847107
7410	7420	0.8091476559638977
7299	7287	0.702522873878479
1104	10963	0.7113326787948608
1141	1151	0.734039306640625
1141	1173	0.7151714563369751
10476	10477	0.7640408277511597
5197	5209	0.7520809769630432
9638	9628	0.7437657713890076
11492	11485	0.7540679574012756
14814	2174	0.7482227683067322
2762	2764	0.8543949723243713
2762	2761	0.8008381128311157
3385	2418	0.7471230626106262
6924	6918	0.7414035797119141
6924	6930	0.760890543460846
14342	3458	0.7551597356796265
10725	10693	0.9301416873931885
11333	11334	0.7357887625694275
1403	3689	0.7256371974945068
229	231	0.8557855486869812
229	2764	0.80144202709198
229	2761	0.716233491897583
229	2762	0.7382358908653259
3086	3062	0.738646388053894
3086	3087	0.8570523262023926
7271	7257	0.7024926543235779
7096	5437	0.7521654367446899
9969	9963	0.8801383972167969
8962	8961	0.7624427080154419
10435	10417	0.7678044438362122
10761	10682	0.8140612244606018
9694	9693	0.7175032496452332
8585	8594	0.7466961145401001
12928	9473	0.8763670921325684
9974	9972	0.9136965274810791
12418	15093	0.7252023220062256
1189	1151	0.7366535663604736
1189	1173	0.7130081057548523
867	876	0.8146617412567139
14245	2611	0.7148832678794861
10457	11017	0.7625569105148315
9968	9978	0.7505078911781311
3310	14329	0.8143909573554993
6527	6528	0.9636293649673462
7818	7811	0.9554832577705383
7818	7809	0.7746104598045349
11078	11474	0.7114889025688171
8714	434	0.7734611630439758
8714	8696	0.723108172416687
8714	8719	0.81617271900177
8714	3264	0.7683917880058289
8714	8716	0.7858197093009949
8714	3246	0.7655737400054932
1076	14126	0.7625352740287781
1076	1108	0.7680903673171997
1076	1055	0.711292564868927
1076	1073	0.7562472820281982
1076	1082	0.7051026821136475
1152	1160	0.7243729829788208
11222	7632	0.9472150802612305
14	12	0.7042833566665649
5206	5209	0.7050889134407043
5206	5197	0.7345468401908875
7014	7021	0.7267669439315796
7579	7546	0.8654505014419556
10097	10098	0.8226308226585388
10097	10099	0.8256622552871704
5140	5166	1.0000001192092896
8986	14733	0.7011632323265076
3599	3635	0.7026947736740112
14140	1262	0.7865443825721741
4153	4173	0.8993032574653625
7739	3338	0.7917594313621521
2527	2512	0.8989070057868958
406	404	0.7037463784217834
6843	7319	0.7421333193778992
2298	2287	0.8498468399047852
2298	2284	0.9442073702812195
9052	9096	0.833022952079773
10760	14853	0.7187944054603577
3114	3100	0.927375316619873
12542	15111	0.7463464140892029
448	451	0.8592212796211243
6984	6985	0.7620384097099304
7476	7477	0.8423653244972229
10452	10435	0.7596768736839294
901	899	0.923203706741333
14183	1766	0.8947892189025879
1153	1173	0.7510386109352112
14423	4656	0.7214003801345825
894	14106	0.748226523399353
13984	13981	0.7734155058860779
4562	4527	0.7673529982566833
169	149	0.758975625038147
1795	1766	0.7811184525489807
1795	14183	0.8581922650337219
2911	2922	0.9999999403953552
14138	1248	0.816697359085083
15185	1948	0.8296834826469421
15185	5497	0.7131509780883789
15253	13361	0.7921395301818848
8707	434	0.7428622245788574
8707	8696	0.8104684352874756
8707	8719	0.7639148831367493
8707	3264	0.7272698879241943
8707	8716	0.7795519828796387
8707	8714	0.7063673734664917
9798	2455	0.8701319098472595
10721	10737	0.7094300985336304
8729	8643	0.9531341791152954
1138	1151	0.7575562596321106
2406	2386	0.7099383473396301
2406	2608	0.7970359921455383
8907	8902	0.9211768507957458
6922	6932	0.9999998807907104
4315	1457	0.7603910565376282
4315	1480	0.7045999765396118
7398	7412	0.8843162059783936
7398	7399	0.7950755953788757
11817	12024	1.0
14146	1271	0.9038176536560059
7386	7873	0.7190617918968201
903	3087	0.7199241518974304
903	3086	0.821276068687439
3090	3101	0.7407927513122559
1057	1330	0.7791276574134827
6017	6000	0.717303454875946
8734	8607	0.8582071661949158
5739	5830	0.7503709197044373
4220	4207	0.8012539148330688
3456	3473	0.7093141674995422
7354	7358	0.8303202986717224
2858	2848	0.8731223940849304
9711	9720	0.7229507565498352
10822	10815	0.7606426477432251
9480	9478	0.9936407804489136
351	353	0.7537201046943665
2931	2912	1.0000001192092896
3531	3536	0.8713756799697876
14409	6269	0.7515550255775452
14117	14314	0.7021042704582214
13385	15230	0.7479091286659241
2758	231	0.8958473801612854
2758	2761	0.7025043964385986
2758	229	0.8260674476623535
763	1312	0.8167890310287476
8901	8900	0.9999998807907104
3870	13986	0.7615126371383667
7972	7969	0.7696802616119385
2847	2848	0.8853886723518372
2847	2858	0.8277850151062012
1344	1180	0.7176243662834167
981	14314	0.7258918881416321
2344	2333	0.8794617652893066
445	365	0.7126996517181396
13662	4884	0.7048448920249939
12712	15152	0.7316910624504089
3955	3988	1.0
11318	11312	0.8400588035583496
11318	11317	0.9316447377204895
14169	9459	0.7146126627922058
14169	10950	0.8895751237869263
11106	14915	0.9029079675674438
14242	2611	0.7148832678794861
14242	14245	1.0000001192092896
12201	12247	0.7960882186889648
13053	13050	0.7244741320610046
3461	6784	0.7274698615074158
3399	3415	0.7779550552368164
3220	3208	0.7016535401344299
969	14120	0.7183449268341064
969	14314	0.7473306059837341
969	1004	0.7015520334243774
969	14117	0.7581366896629333
969	981	0.7613621354103088
1336	8369	0.9999999403953552
14236	2337	0.7292526960372925
5974	2877	0.9999998807907104
6467	6468	0.8942635655403137
14341	3400	0.8969462513923645
10590	10609	0.8295363187789917
15312	15310	1.0000001192092896
1700	1697	0.8601100444793701
4038	4614	0.9630327820777893
1240	1354	0.7307412624359131
2846	2848	0.8682466745376587
2846	2858	0.8220359086990356
2846	2847	0.8404453992843628
10404	10419	0.730780839920044
3285	6851	0.805361270904541
15144	15145	0.8729919791221619
12225	12208	0.7967707514762878
2656	7715	0.7608578205108643
950	937	0.7012408971786499
1484	14160	0.738683819770813
10080	2174	0.7079297304153442
1154	1151	0.7014479637145996
1154	1189	0.728475034236908
3320	3319	0.7917505502700806
11552	14933	0.7516490817070007
7754	14625	0.7206975221633911
364	371	1.0000001192092896
10878	8763	0.7445750832557678
4637	4636	0.831588864326477
9825	9821	1.0
4212	4240	0.7670369148254395
13151	5234	1.0000001192092896
9883	9891	0.7805627584457397
3553	3556	0.8657257556915283
4582	14415	0.7231471538543701
10173	10174	0.74567711353302
8880	14727	0.7180107235908508
1139	1123	0.7515398859977722
1139	1151	0.7177708148956299
93	7072	0.7281113862991333
122	111	0.7538957595825195
122	120	0.7360110282897949
3217	3201	0.7146311402320862
11010	14834	0.7434325218200684
